                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 1.1361,                0.81507,                 1.0661,                0.41885,                  0.424,                0.38591,                0.22826,                  1.416,                    1.3,                 1.2705,             0.00075912,             0.00075912,             0.00075912
                    122,                 1.1089,                0.81271,                 1.0556,                 0.4274,                0.43591,                0.39046,                0.24069,                 1.3847,                 1.2759,                  1.254,               0.000755,               0.000755,               0.000755
                    123,                 1.1126,                0.81235,                 1.0549,                0.42805,                0.41385,                0.37058,                0.21934,                 1.4451,                 1.3499,                 1.3049,             0.00075088,             0.00075088,             0.00075088
                    124,                 1.1359,                 0.8014,                 1.0614,                0.50962,                0.36775,                0.41031,                0.24682,                 1.4588,                 1.3008,                 1.3003,             0.00074675,             0.00074675,             0.00074675
                    125,                 1.1002,                0.78483,                  1.046,                0.48006,                0.45052,                0.42859,                0.25822,                 1.4502,                 1.3238,                 1.2916,             0.00074263,             0.00074263,             0.00074263
                    126,                 1.0957,                0.78153,                 1.0466,                0.47897,                0.47385,                0.42843,                0.24936,                 1.4631,                 1.2887,                 1.3007,              0.0007385,              0.0007385,              0.0007385
                    127,                 1.0998,                0.81597,                 1.0421,                0.35271,                0.50922,                0.37636,                0.22154,                 1.4667,                 1.3218,                 1.2985,             0.00073437,             0.00073437,             0.00073437
                    128,                 1.1109,                0.82028,                 1.0484,                0.47585,                0.43187,                0.40496,                0.23713,                 1.4337,                 1.2814,                 1.2802,             0.00073025,             0.00073025,             0.00073025
                    129,                 1.0985,                 0.7916,                 1.0404,                0.42722,                0.43996,                0.39197,                0.22749,                 1.4242,                 1.2696,                 1.2632,             0.00072612,             0.00072612,             0.00072612
                    130,                  1.114,                 0.8113,                 1.0528,                0.41372,                0.43244,                0.38016,                0.22467,                 1.4469,                 1.3285,                 1.2843,               0.000722,               0.000722,               0.000722
                    131,                 1.1076,                0.79279,                 1.0478,                0.39904,                0.44211,                0.35805,                0.20424,                 1.4843,                 1.4394,                 1.3354,             0.00071788,             0.00071788,             0.00071788
                    132,                 1.0889,                0.77431,                 1.0475,                0.37255,                 0.4818,                0.37423,                0.22069,                 1.4178,                 1.3108,                  1.277,             0.00071375,             0.00071375,             0.00071375
                    133,                 1.0816,                0.76768,                 1.0337,                0.33937,                0.51076,                0.35846,                0.21321,                 1.4117,                 1.3952,                 1.2878,             0.00070962,             0.00070962,             0.00070962
                    134,                 1.1379,                0.80651,                 1.0541,                0.41922,                0.46101,                0.38953,                0.23231,                 1.4375,                 1.3173,                 1.3172,              0.0007055,              0.0007055,              0.0007055
                    135,                 1.1047,                0.79745,                 1.0544,                0.40038,                0.45143,                0.39678,                0.23823,                 1.4075,                 1.2824,                  1.274,             0.00070137,             0.00070137,             0.00070137
                    136,                 1.1083,                0.78441,                 1.0446,                0.43685,                0.44116,                0.39432,                0.23088,                 1.4155,                 1.2913,                  1.263,             0.00069725,             0.00069725,             0.00069725
                    137,                 1.0832,                0.77212,                 1.0395,                0.37265,                0.45622,                0.37389,                0.22131,                  1.455,                 1.3056,                 1.2973,             0.00069313,             0.00069313,             0.00069313
                    138,                 1.0913,                0.76231,                 1.0388,                0.39523,                0.39472,                0.35543,                0.20158,                 1.4647,                 1.3182,                 1.3067,               0.000689,               0.000689,               0.000689
                    139,                 1.0763,                 0.7658,                 1.0335,                0.39522,                0.42138,                0.37182,                0.21587,                 1.4234,                 1.2959,                  1.274,             0.00068488,             0.00068488,             0.00068488
                    140,                 1.0634,                0.76538,                 1.0315,                0.41327,                0.40025,                 0.3704,                0.22584,                  1.449,                 1.3074,                 1.2963,             0.00068075,             0.00068075,             0.00068075
                    141,                   1.09,                0.75523,                 1.0358,                0.42404,                0.45528,                0.40865,                 0.2545,                 1.4456,                  1.275,                  1.298,             0.00067663,             0.00067663,             0.00067663
                    142,                 1.0794,                 0.7733,                 1.0337,                 0.3844,                0.51412,                0.39385,                0.23774,                 1.4194,                 1.2532,                 1.2924,              0.0006725,              0.0006725,              0.0006725
                    143,                 1.0785,                0.74999,                 1.0512,                0.46143,                0.41836,                0.41673,                0.25246,                 1.4371,                 1.2782,                 1.2807,             0.00066838,             0.00066838,             0.00066838
                    144,                 1.0712,                0.73958,                 1.0334,                0.38409,                0.50972,                0.38817,                0.23505,                 1.4472,                 1.3464,                 1.2715,             0.00066425,             0.00066425,             0.00066425
                    145,                 1.0801,                0.75623,                 1.0392,                0.40361,                0.49756,                 0.3922,                0.23717,                  1.456,                 1.3465,                 1.2948,             0.00066013,             0.00066013,             0.00066013
